Material	Descripción del material
12005528	BOLSA PARA ENVIO DE PAPELERIA
18000060	PELUCHE POLLITO CAMPERO
18000061	PORTA CERTIFICADO
18000062	BOLSA PARA DULCES
18000063	GLOBOS IMPRESOS CAMPERO
18000064	BANDERINES CAMPERO
18000065	TARJETA INVITACION CUMPLEAÑERO
18000066	CORONITAS CAMPERO
18000067	BOTONES PARA CUMPLEAÑERO
18000068	PORTA GLOBOS
18000069	GORRA CAMPERO
18000070	GLOBOS TELEPIZZA
18000071	PREMIUN DISEÑO MINI SPINNER
18000072	STICKER INVITADO
18000073	STICKER PARA TARJETA CUMPLEAÑERO
18000074	CAMISA PARA PELUCHES CAMPERO
18000075	MORRALES DON POLLO
18000076	PREMIUN MR POTATO HEAD
18000077	PREMIUM THOMAS & FRIENDS
18000078	BOLSA PROMOCIONAL CAMPERO
18000079	PREMIUN DEDITOS FUTBOLEROS
18000080	PREMIUN DVD TELEPIZZA
18000081	PREMIUN PARACAIDAS CAMPERONIX
18000082	PREMIUN PELOTA INFLABLE SNOOPY
18000083	PREMIUN TOALLA SNOOPY
18000084	PREMIUN PELOTA DE FOOTBALL
18000085	SOMBRILLA PERSONALIZADA POLLO CAMPERO
18000086	HABLADOR DE CAJA
18000087	MENU MODIFICADO
18000088	TEND CARD PIRAMIDE
18000089	HOJAS VOLANTES
18000090	HOJAS VOLANTES TELEPIZZA
18000091	BACKLIGHT
18000092	ETIQUETAS INFANTILES
18000093	GLOBO PROMOCIONAL
18000094	PREMIUN MINI SKATEBOARD
18000095	PREMIUN BRAZALETES CAMPERO
18000096	CRAYOLAS CAMPERO
18000100	MENU POLLO
18000101	MENU TELEPIZZA
18000102	MENU DESAYUNO
18000103	PREMIUN TOONZ X RAY
18000106	CAMISETA PROMOCIONAL
18000107	LLAVERO PROMOCIONAL
18000108	SQUEEZE PROMOCIONAL
18000125	CALENDARIO DE BOLSILLO DON POLLO
18000126	INSERTOS DE MENÚ
18000128	PREMIUN BOB ESPONJA CASA
18000130	PREMIUN BOB ESPONJA JUGUETE BAÑERA
18000137	RESPALDO PARA EXHIBIDORES PREMIUN
18000140	AFICHE
18000160	PREMIUN PEARLIES
18000161	STICKER PARA CUADERNO DON POLLO
18000190	INSERTOS DE MENÚ POLLO
18000192	PREMIUN DISEÑO FANBOY & CHUMCHUM
18000200	CUPONERAS
18000210	PRIMIUM CLACKER
18000211	MOCHILA PROMOCIONAL IMPRESA
18000212	LLAVERO PROMOCIONAL METAL Y LONA
18000213	BILLETERA PROMOCIONAL JUVENIL
18000214	TOALLA PROMOCIONAL DE PLAYA
18000215	BOLSA PROMOCIONAL RECICLABLE
18000216	SET JARRA Y VASOS FROST
18000217	BIFOLIAR MENU PROMOCIONAL INFANTIL
18000218	PACHONES ACTITUD CAMPERO RRHH
18000219	BANDERINES TP
18000220	LLAVERO ACTITUD SUPER CAMPERO
18000221	POLLITO DE PELUCHE PROMOCIONAL
18000222	BANDERINES POLLO GRANJERO
18000223	GLOBOS PARA FIGURAS
18000224	CANASTA NAVIDEÑA 2011
18000225	REGALO PIRAMIDES MADERA 8-12
18000226	REGALO BANCO GEO O DOMINO NIÑO
18000227	CRAYONES
18000228	MENU TELE PIZZA
18000229	STICKERS GANCHO
18000230	BABERO CAMPERO
18000231	REGALO PERRITOS DE MADERA 2-
18000232	REGALO MUSICAL CON BLANKY 2-
18000233	REGALO MUSICALES 1 AÑO
18000234	CALCOMANIA CAD TRASERA DEPARTAMENTAL Y C
18000235	CALCOMANIA CAD MOTO LATERAL
18000236	PLIEGOS DE PAPEL REGALO
18000237	REGALO CASA GEO-FIG-GUSANITO
18000238	SET MALETIN Y MOCHILA
18000239	MALETIN REGALO CB
18000240	CANASTA NAVIDEÑA
18000241	GLOBOS POLLO GRANJERO
18000250	CERTIFICADO DE REGALO TELE PIZZ
18000251	PREMIUM JITZU
18000252	PREMIUM STREET BEANZ
18000270	PREMIUN BANDAS PLASTICAS GRANJITA DEL PO
18000271	PREMIUN STAR WARS
18000291	PREMIUM DRACCO HEADS SASHET
18000293	PREMIUM PINGUINOS DE MADAGASCAR
18000296	PREMIUM CURLY BANDS SASHET
18000301	INSERTO MENU INFANTIL ALMUERZO
18000310	VIÑETA PARA CENTRO DE MESA
18000311	FUNDAS ENSALADA
18000320	INSERTO PROMOCIONAL
18000330	PREMIUM KUNG FU PANDA
18000340	LIBRO JUEGOS INFANTILES
18000350	FUNDAS PROMOCIONALES PARA MENÚ
18000351	PREMIUM TONKA CARS
18000352	PREMIUM MY LITTLE PONY
18000353	BOTARGAS POLLITO
18000354	CORONITAS DON POLLO
